Fold 0
train run device : cuda:0
{'epoch': 73, 'lr': 0.0007157607493247108, 'train_loss': 0.0014684922610532377, 'mae': 0.22912565, 'elapsed_time': 118.09497308731079}
{'epoch': 74, 'lr': 0.0007086996075095287, 'train_loss': 0.0013528793277509013, 'mae': 0.26011968, 'elapsed_time': 117.74468064308167}
{'epoch': 75, 'lr': 0.0007015882058642161, 'train_loss': 0.001376357709160698, 'mae': 0.22794668, 'elapsed_time': 117.9553382396698}
{'epoch': 76, 'lr': 0.0006944282990207193, 'train_loss': 0.0013964617719924395, 'mae': 0.24506831, 'elapsed_time': 117.63661050796509}
{'epoch': 77, 'lr': 0.0006872216535789155, 'train_loss': 0.0017290544549880872, 'mae': 0.25741592, 'elapsed_time': 117.67891335487366}
{'epoch': 78, 'lr': 0.0006799700476707321, 'train_loss': 0.001486515742094016, 'mae': 0.23798954, 'elapsed_time': 118.2181704044342}
{'epoch': 79, 'lr': 0.0006726752705214191, 'train_loss': 0.001502804841038958, 'mae': 0.226318, 'elapsed_time': 117.81097292900085}
{'epoch': 80, 'lr': 0.0006653391220080838, 'train_loss': 0.0013811556374280164, 'mae': 0.23262207, 'elapsed_time': 117.8552622795105}
{'epoch': 81, 'lr': 0.0006579634122155988, 'train_loss': 0.0013577192656404535, 'mae': 0.23401983, 'elapsed_time': 117.97359323501587}
{'epoch': 82, 'lr': 0.0006505499609899903, 'train_loss': 0.0013240189219326907, 'mae': 0.2277255, 'elapsed_time': 117.82915139198303}
{'epoch': 83, 'lr': 0.0006431005974894184, 'train_loss': 0.0012688922923554482, 'mae': 0.23445076, 'elapsed_time': 117.84356474876404}
{'epoch': 84, 'lr': 0.0006356171597328593, 'train_loss': 0.0012085342500790844, 'mae': 0.21634156, 'elapsed_time': 117.89909076690674}
{'epoch': 85, 'lr': 0.0006281014941466028, 'train_loss': 0.0011336432895799043, 'mae': 0.22001614, 'elapsed_time': 117.43492197990417}
{'epoch': 86, 'lr': 0.000620555455108673, 'train_loss': 0.001283996909451927, 'mae': 0.23832272, 'elapsed_time': 117.17238640785217}
{'epoch': 87, 'lr': 0.0006129809044912885, 'train_loss': 0.0013193833705277297, 'mae': 0.22986138, 'elapsed_time': 117.18395066261292}
{'epoch': 88, 'lr': 0.0006053797112014735, 'train_loss': 0.0012687634610039577, 'mae': 0.25986087, 'elapsed_time': 117.4075915813446}
{'epoch': 89, 'lr': 0.0005977537507199336, 'train_loss': 0.0012340201808027356, 'mae': 0.21852975, 'elapsed_time': 117.40237474441528}
{'epoch': 90, 'lr': 0.0005901049046383074, 'train_loss': 0.0011291820802796827, 'mae': 0.21661705, 'elapsed_time': 117.5546977519989}
{'epoch': 91, 'lr': 0.0005824350601949141, 'train_loss': 0.0011743825926359636, 'mae': 0.21800718, 'elapsed_time': 117.42768144607544}
{'epoch': 92, 'lr': 0.0005747461098091033, 'train_loss': 0.0011767059181939695, 'mae': 0.3272453, 'elapsed_time': 117.34070539474487}
{'epoch': 93, 'lr': 0.0005670399506143305, 'train_loss': 0.0011627717170743376, 'mae': 0.23356205, 'elapsed_time': 117.33060097694397}
{'epoch': 94, 'lr': 0.0005593184839900673, 'train_loss': 0.001081393024655191, 'mae': 0.20791961, 'elapsed_time': 117.48698163032532}
{'epoch': 95, 'lr': 0.0005515836150926644, 'train_loss': 0.001037546598912273, 'mae': 0.21147346, 'elapsed_time': 117.08137726783752}
