Fold 0
train run device : cuda:0
{'epoch': 64, 'lr': 0.0007767662949090749, 'train_loss': 0.0015591372535215299, 'mae': 0.27623606, 'elapsed_time': 115.68713521957397}
{'epoch': 65, 'lr': 0.000770234263514603, 'train_loss': 0.001645855311578358, 'mae': 0.27110913, 'elapsed_time': 115.58414506912231}
{'epoch': 66, 'lr': 0.0007636367895343944, 'train_loss': 0.0015745934150801974, 'mae': 0.24544553, 'elapsed_time': 115.93277621269226}
{'epoch': 67, 'lr': 0.0007569755007964335, 'train_loss': 0.0014140270840477833, 'mae': 0.24099149, 'elapsed_time': 115.57293152809143}
{'epoch': 68, 'lr': 0.0007502520408740415, 'train_loss': 0.0017390617497161653, 'mae': 0.39422405, 'elapsed_time': 115.58432936668396}
{'epoch': 69, 'lr': 0.0007434680686803488, 'train_loss': 0.0015226463192914636, 'mae': 0.23418799, 'elapsed_time': 115.45983242988586}
{'epoch': 70, 'lr': 0.0007366252580589837, 'train_loss': 0.0016619992266533152, 'mae': 0.25884676, 'elapsed_time': 115.81565594673157}
{'epoch': 71, 'lr': 0.0007297252973710754, 'train_loss': 0.001471591035041136, 'mae': 0.24729073, 'elapsed_time': 115.54674315452576}
{'epoch': 72, 'lr': 0.0007227698890786777, 'train_loss': 0.001514273252390014, 'mae': 0.27727616, 'elapsed_time': 115.66158652305603}
{'epoch': 73, 'lr': 0.0007157607493247108, 'train_loss': 0.0015164219129354137, 'mae': 0.24748358, 'elapsed_time': 115.58664917945862}
{'epoch': 74, 'lr': 0.0007086996075095287, 'train_loss': 0.001366233762731372, 'mae': 0.23736222, 'elapsed_time': 115.77883005142212}
{'epoch': 75, 'lr': 0.0007015882058642161, 'train_loss': 0.0013223175932094702, 'mae': 0.24245226, 'elapsed_time': 115.90900874137878}
{'epoch': 76, 'lr': 0.0006944282990207193, 'train_loss': 0.0013486926922188286, 'mae': 0.25040358, 'elapsed_time': 115.97290229797363}
{'epoch': 77, 'lr': 0.0006872216535789155, 'train_loss': 0.0012853509907575535, 'mae': 0.23485428, 'elapsed_time': 116.21640419960022}
